"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4004044","DMD",-2.686,6.8706,-21.1646352189723,6.42409256071814e-27,1.22545989688259e-22,50.4784890599778
"4000538","VEGFD",-4.14,6.642,-19.3684832971309,3.62228620544316e-25,3.45493658275169e-21,46.6668645591874
"2591421","TFPI",-2.2128,7.1468,-16.1872798194319,9.68878411425395e-22,6.16077485878361e-18,39.1022557253368
"3830189","FXYD1",-1.8416,8.0504,-16.0397627369134,1.43352952736229e-21,6.83650231599074e-18,38.7236758090516
"3519309","SPRY2",-2.1232,7.7964,-15.3091329224766,1.03487611268668e-20,3.94825934512223e-17,36.8096359712724
"3745525","TMEM220",-1.0784,6.1008,-15.214113774208,1.34431887026497e-20,4.27403779486243e-17,36.555870472947
"2701109","IGSF10",-2.4704,7.0796,-15.0258272620148,2.26462634080443e-20,6.17143029674075e-17,36.0496735156769
"3768880","ABCA10",-2.9144,6.0612,-14.9525244836808,2.77757814849542e-20,6.24877406214412e-17,35.8513948556497
"3927480","ADAMTS5",-2.2236,7.5486,-14.9311696275958,2.94815299639846e-20,6.24877406214412e-17,35.7935036057977
"3174121","MAMDC2",-2.436,7.3772,-14.8832471684994,3.37071096929524e-20,6.4299682450276e-17,35.6633792511653
"3039485","MEOX2",-1.37,8.1782,-14.8062481987433,4.18251149969022e-20,7.25323539709914e-17,35.4536919238457
"3047581","INHBA",2.4384,7.8912,14.746877120716,4.94206112227906e-20,7.85622983071628e-17,35.2914939249767
"2498274","ECRG4",-2.086,7.079,-14.509862806736,9.66169340693066e-20,1.4177420263893e-16,34.6394879061226
"4018080","CHRDL1",-3.9156,8.567,-14.3576310815429,1.49145722279751e-19,2.03221699872038e-16,34.2168948653657
"3362826","LYVE1",-3.5936,8.2124,-14.1346454269501,2.83155600972951e-19,3.60098416277335e-16,33.5924593471345
"2592532","CAVIN2",-1.474,7.4102,-14.0849127729909,3.26950489831531e-19,3.89806721501643e-16,33.4523062363516
"3768791","ABCA6",-3.0064,7.7316,-13.8836518050865,5.8693782221565e-19,6.58613288034455e-16,32.8818134467974
"3768627","ABCA8",-3.0868,6.1394,-13.8351556643897,6.76315349650498e-19,7.16743978329605e-16,32.7435497031731
"2779271","ADH1C",-2.8448,7.3988,-13.7030318100695,9.9655857364283e-19,9.7450246220852e-16,32.3652848390438
"3768703","ABCA9",-3.0712,7.2988,-13.694563436212,1.02170524450463e-18,9.7450246220852e-16,32.3409614616931
"2699623","PLSCR4",-1.6628,8.0534,-13.6408270932237,1.19699655630315e-18,1.08732887181138e-15,32.1863950589781
"2762088","LDB2",-1.7112,8.1784,-13.6171885260166,1.28349252784156e-18,1.11290470277752e-15,32.1182800822091
"2615060","RBMS3",-2.0016,8.3396,-13.5063779501424,1.78171872714175e-18,1.47774201908504e-15,31.797987112098
"2607568","CHL1",-1.796,6.4084,-13.4027122218204,2.4249803455251e-18,1.92745521130153e-15,31.4968652305197
"2414366","PLPP3",-1.4036,10.4254,-13.27636283179,3.53726202455609e-18,2.65184229969619e-15,31.1279123614538
